id,type,name
1,terrains,yellowWall
2,terrains,whiteWall
3,terrains,blueWall
4,animates,star
5,animates,lava
6,terrains,ice
7,terrains,blueShop-left
8,terrains,blueShop-right

21,items,yellowKey
22,items,blueKey
23,items,redKey
24,items,greenKey
25,items,steelKey
26,items,boxKey
27,items,redJewel
28,items,blueJewel
29,items,greenJewel
30,items,yellowJewel
31,items,redPotion
32,items,bluePotion
33,items,greenPotion
34,items,yellowPotion
35,items,sword1
36,items,shield1
39,items,sword3
40,items,shield3
43,items,sword5
44,items,shield5
45,items,book
46,items,compass
50,items,smallFly
51,items,bigFly
55,items,cross
63,items,moneyPocket
48,items,pickaxe
56,items,holyWater
72,items,wand1
73,items,wand2

81,terrains,yellowDoor
82,terrains,blueDoor
83,terrains,redDoor
85,terrains,specialDoor
86,terrains,steelDoor
87,terrains,upFloor
88,terrains,downFloor

121,npcs,oldMan
122,npcs,businessMan
123,npcs,thief
124,npcs,fairy
131,npcs,blueShop
132,npcs,princess

201,enemys,greenSlime
202,enemys,redSlime
203,enemys,blackSlime
204,enemys,slimelord
205,enemys,bat
206,enemys,bigBat
207,enemys,redBat
208,enemys,vampire
209,enemys,skeleton
210,enemys,skeletonSoilder
211,enemys,skeletonCaptain
212,enemys,ghostSkeleton
213,enemys,zombie
214,enemys,zombieKnight
215,enemys,rock
216,enemys,slimeMan
217,enemys,bluePriest
218,enemys,redPriest
219,enemys,brownWizard
220,enemys,redWizard
221,enemys,yellowGuard
222,enemys,blueGuard
223,enemys,redGuard
224,enemys,swordsman
225,enemys,soldier
226,enemys,yellowKnight
227,enemys,redKnight
228,enemys,darkKnight
236,enemys,steelRock
245,enemys,redKing
246,enemys,whiteKing
247,enemys,blackMagician
257,boss,magicDragon
258,boss,octopus
