id,name,hp,atk,def,money,exp,special
greenSlime,绿头怪,50,20,1,1,1,0
redSlime,红头怪,70,15,2,2,2,0
slimelord,怪王,700,250,125,32,30,0
bat,小蝙蝠,100,20,5,3,3,0
bigBat,大蝙蝠,150,65,30,10,8,0
redBat,红蝙蝠,550,160,90,25,20,0
skeleton,骷髅人,110,25,5,5,4,0
skeletonSoilder,骷髅士兵,150,40,20,8,6,0
skeletonCaptain,骷髅队长,400,90,50,15,12,0
ghostSkeleton,冥队长,2500,900,850,84,75,0
zombie,兽面人,300,75,45,13,10,0
zombieKnight,兽面武士,900,450,330,50,50,0
rock,石头人,500,115,65,15,15,0
slimeMan,影子战士,3100,1150,1050,92,80,0
bluePriest,初级法师,125,50,25,10,7,0
redPriest,高级法师,100,200,110,30,25,0
brownWizard,麻衣法师,250,120,70,20,17,22,100
redWizard,红衣法师,500,400,260,47,45,22,300
yellowGuard,初级卫兵,450,150,90,22,19,0
blueGuard,中级卫兵,1250,500,400,55,55,0
redGuard,高级卫兵,1500,560,460,60,60,0
swordsman,双手剑士,1200,620,520,65,75,0
soldier,冥战士,2000,680,590,70,65,0
yellowKnight,金卫士,850,350,200,45,40,0
redKnight,金队长,900,750,650,77,70,0
darkKnight,灵武士,1200,980,900,88,75,0
blackMagician,灵法师,1500,830,730,80,70,11,3
redKing,红衣魔王,15000,1000,1000,100,100,0
whiteKing,白衣武士,1300,300,150,40,35,11,4
vampire,冥灵魔王,30000,1700,1500,250,220,0
blackSlime,青头怪,200,35,10,5,5,0
